,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,NPDES_ID,YEARQTR,HLRNC,NUME90Q,NUMCVDT,NUMSVCD,NUMPSCH
0,SPECIALTY TANK & EQUIP CO,30.33685,-81.69035,http://echo.epa.gov/detailed-facility-report?fid=110012624277,FLR05H829,20193,D,0,0,0,0
1,SPECIALTY TANK & EQUIP CO,30.33685,-81.69035,http://echo.epa.gov/detailed-facility-report?fid=110012624277,FLR05H829,20194,D,0,0,0,0
2,SPECIALTY TANK & EQUIP CO,30.33685,-81.69035,http://echo.epa.gov/detailed-facility-report?fid=110012624277,FLR05H829,20201,D,0,0,0,0
3,SPECIALTY TANK & EQUIP CO,30.33685,-81.69035,http://echo.epa.gov/detailed-facility-report?fid=110012624277,FLR05H829,20202,D,0,0,0,0
4,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19961,W,0,0,0,0
5,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19962,W,0,0,0,0
6,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19963,W,0,0,0,0
7,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19964,W,0,0,0,0
8,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19971,W,0,0,0,0
9,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19972,W,0,0,0,0
10,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19973,W,0,0,0,0
11,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19974,W,0,0,0,0
12,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19981,W,0,0,0,0
13,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19982,W,0,0,0,0
14,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19983,W,0,0,0,0
15,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19984,W,0,0,0,0
16,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19991,W,0,0,0,0
17,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19992,W,0,0,0,0
18,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19993,W,0,0,0,0
19,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,19994,N,0,0,0,0
20,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20001,N,0,0,0,0
21,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20002,N,0,0,0,0
22,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20003,N,0,0,0,0
23,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20004,N,0,0,0,0
24,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20011,N,0,0,0,0
25,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20012,N,0,0,0,0
26,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20023,X,0,0,0,0
27,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20024,R,0,0,0,0
28,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20031,R,0,0,0,0
29,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20032,N,0,0,0,0
30,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20033,N,0,0,0,0
31,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20034,X,0,0,0,0
32,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20042,N,0,0,0,0
33,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20043,X,0,0,0,0
34,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20044,N,0,0,0,0
35,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20051,N,0,0,0,0
36,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20052,X,0,0,0,0
37,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20053,X,0,0,0,0
38,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20054,X,0,0,0,0
39,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,20061,R,0,0,0,0
