,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,ENFORCEMENT_IDENTIFIER,ENFORCEMENT_TYPE,ENFORCEMENT_DESC,ENFORCEMENT_AGENCY,ENFORCEMENT_ACTION_DATE,PMP_AMOUNT,FMP_AMOUNT,FSC_AMOUNT,SCR_AMOUNT
0,GREAT SOUTHERN PETERBILT INC,30.326909999999998,-81.73465999999998,http://echo.epa.gov/detailed-facility-report?fid=110002527347,FLD019482488,FL,125,FL125,DEP WARNING LETTER,S  ,06/05/2001,,,,
1,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FLD981475858,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,01/18/1996,,,,
2,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FLD981475858,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,06/20/2011,,,,
3,HALE INTERMODAL TRUCKING CO,30.34822,-81.73396899999999,http://echo.epa.gov/detailed-facility-report?fid=110002550864,FLD981858848,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,07/20/2010,,,,
4,SOUTHEAST CHEVY PARTS INC,28.64465,-81.45999,http://echo.epa.gov/detailed-facility-report?fid=110002558679,FLD982091407,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,04/14/2017,,,,
5,MILLIKAN BATTERY & ELECTRIC,28.672199,-81.496167,http://echo.epa.gov/detailed-facility-report?fid=110005603089,FLD984200220,FL,123,FL123,DEP NON-COMPLIANCE LETTER,S  ,02/28/2008,,,,
6,MILLIKAN BATTERY & ELECTRIC,28.672199,-81.496167,http://echo.epa.gov/detailed-facility-report?fid=110005603089,FLD984200220,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,05/24/2012,,,,
7,BP OIL CO #24564,30.328340999999998,-81.573122,http://echo.epa.gov/detailed-facility-report?fid=110007453978,FLD984215665,FL,125,FL125,DEP WARNING LETTER,S  ,07/31/2002,,,,
8,LIBERTY STEEL,30.329340000000002,-81.68106999999998,http://echo.epa.gov/detailed-facility-report?fid=110005653550,FLR000051169,FL,125,FL125,DEP WARNING LETTER,S  ,07/22/1999,,,,
9,MITZI SKIFFS,30.328910999999998,-81.630414,http://echo.epa.gov/detailed-facility-report?fid=110005662292,FLR000066324,FL,105,FL105,INFORMAL VERBAL ENFORCEMENT,S  ,06/07/2000,,,,
