,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PGM_SYS_ID,ACTIVITY_ID,STATE_EPA_FLAG,ACTIVITY_TYPE_CODE,ACTIVITY_TYPE_DESC,COMP_MONITOR_TYPE_CODE,COMP_MONITOR_TYPE_DESC,ACTUAL_END_DATE,PROGRAM_CODES
0,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FL0000001203100290,3401297888,S,INS,Inspection/Evaluation,PCE,PCE On-Site,06-10-2011,CAASIP
1,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FL0000001203100290,3401297889,S,INS,Inspection/Evaluation,FOO,FCE On-Site,07-22-2009,CAASIP
2,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FL0000001203100290,3401297890,S,INS,Inspection/Evaluation,FOO,FCE On-Site,06-21-2010,CAASIP
3,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FL0000001203100290,3401297891,S,INS,Inspection/Evaluation,FOO,FCE On-Site,07-05-2011,CAASIP
4,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255541,S,INS,Inspection/Evaluation,PCE,PCE On-Site,07-30-2002,CAATVP
5,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255542,S,INS,Inspection/Evaluation,PCE,PCE On-Site,09-22-2003,CAATVP
6,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255543,S,INS,Inspection/Evaluation,PCE,PCE On-Site,11-02-2004,CAATVP
7,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255544,S,INS,Inspection/Evaluation,PCE,PCE On-Site,11-16-2005,CAATVP
8,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255545,S,INS,Inspection/Evaluation,PCE,PCE On-Site,11-02-2006,CAATVP
9,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255546,S,INS,Inspection/Evaluation,PCE,PCE On-Site,02-28-2008,CAATVP
10,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255547,S,INS,Inspection/Evaluation,PCE,PCE On-Site,02-17-2009,CAATVP
11,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255548,S,INS,Inspection/Evaluation,PCE,PCE On-Site,03-08-2010,CAATVP
12,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255549,S,INS,Inspection/Evaluation,PCE,PCE On-Site,03-09-2011,CAATVP
13,ROBINSONS CLEANERS INC,29.66659000000001,-82.323018,http://echo.epa.gov/detailed-facility-report?fid=110001739897,FL0000001200100099,3401255550,S,INS,Inspection/Evaluation,PCE,PCE On-Site,07-13-2012,CAATVP
14,ARGOS USA,29.966864,-81.67416999999998,http://echo.epa.gov/detailed-facility-report?fid=110039627142,FL0000001201900027,3401295938,S,INS,Inspection/Evaluation,PCE,PCE On-Site,03-17-2011,CAASIP
15,ARGOS USA,29.966864,-81.67416999999998,http://echo.epa.gov/detailed-facility-report?fid=110039627142,FL0000001201900027,3401295939,S,INS,Inspection/Evaluation,PCE,PCE On-Site,09-08-2011,CAASIP
16,HANSON PIPE & PRECAST - GREEN COVE SPRINGS,29.971225,-81.677308,http://echo.epa.gov/detailed-facility-report?fid=110022411184,FL0000001201900057,3401295953,S,INS,Inspection/Evaluation,PCE,PCE On-Site,04-09-2010,CAASIP
17,HANSON PIPE & PRECAST - GREEN COVE SPRINGS,29.971225,-81.677308,http://echo.epa.gov/detailed-facility-report?fid=110022411184,FL0000001201900057,3401295954,S,INS,Inspection/Evaluation,PCE,PCE On-Site,05-18-2010,CAASIP
18,HANSON PIPE & PRECAST - GREEN COVE SPRINGS,29.971225,-81.677308,http://echo.epa.gov/detailed-facility-report?fid=110022411184,FL0000001201900057,3401295955,S,INS,Inspection/Evaluation,PCE,PCE On-Site,06-24-2010,CAASIP
19,HANSON PIPE & PRECAST - GREEN COVE SPRINGS,29.971225,-81.677308,http://echo.epa.gov/detailed-facility-report?fid=110022411184,FL0000001201900057,3401295956,S,INS,Inspection/Evaluation,PCE,PCE On-Site,05-02-2011,CAASIP
