,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,REGISTRY_ID,REPORTING_YEAR,PGM_SYS_ACRNM,PGM_SYS_ID,POLLUTANT_NAME,ANNUAL_EMISSION,UNIT_OF_MEASURE,NEI_TYPE,NEI_HAP_VOC_FLAG
0,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2014,TRIS,32205THRML6831S,Diisocyanates -- TRI,7.62,Pounds,,
1,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2015,TRIS,32205THRML6831S,Diisocyanates -- TRI,7.28,Pounds,,
2,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2010,TRIS,32205THRML6831S,Diisocyanates -- TRI,2.14,Pounds,,
3,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2018,TRIS,32205THRML6831S,Diisocyanates -- TRI,7.5,Pounds,,
4,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2012,TRIS,32205THRML6831S,Diisocyanates -- TRI,5.4,Pounds,,
5,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2009,TRIS,32205THRML6831S,Diisocyanates -- TRI,2.14,Pounds,,
6,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2011,TRIS,32205THRML6831S,Diisocyanates -- TRI,2.24,Pounds,,
7,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2017,TRIS,32205THRML6831S,Diisocyanates -- TRI,10.0,Pounds,,
8,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2013,TRIS,32205THRML6831S,Diisocyanates -- TRI,5.35,Pounds,,
9,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,110000361876,2016,TRIS,32205THRML6831S,Diisocyanates -- TRI,9.0,Pounds,,
