,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,VIOLATION_TYPE,VIOLATION_TYPE_DESC,VIOL_DETERMINED_BY_AGENCY,DATE_VIOLATION_DETERMINED,ACTUAL_RTC_DATE,SCHEDULED_COMPLIANCE_DATE
0,GREAT SOUTHERN PETERBILT INC,30.326909999999998,-81.73465999999998,http://echo.epa.gov/detailed-facility-report?fid=110002527347,FLD019482488,FL,262.A,Standards Applicable to Generators of HW: General,S  ,04/10/2001,10/04/2001,
1,GREAT SOUTHERN PETERBILT INC,30.326909999999998,-81.73465999999998,http://echo.epa.gov/detailed-facility-report?fid=110002527347,FLD019482488,FL,279.C,Standards for Used Oil: Generators,S  ,04/10/2001,10/04/2001,
2,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FLD981475858,FL,279.C,Standards for Used Oil: Generators,S  ,04/22/2011,04/22/2011,
3,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FLD981475858,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,01/18/1996,02/29/1996,02/29/1996
4,HALE INTERMODAL TRUCKING CO,30.34822,-81.73396899999999,http://echo.epa.gov/detailed-facility-report?fid=110002550864,FLD981858848,FL,279.C,Standards for Used Oil: Generators,S  ,06/21/2010,07/20/2010,
5,SOUTHEAST CHEVY PARTS INC,28.64465,-81.45999,http://echo.epa.gov/detailed-facility-report?fid=110002558679,FLD982091407,FL,PCR,Violation of a permit condition or requirement,S  ,02/01/2017,05/03/2017,
6,MILLIKAN BATTERY & ELECTRIC,28.672199,-81.496167,http://echo.epa.gov/detailed-facility-report?fid=110005603089,FLD984200220,FL,279.C,Standards for Used Oil: Generators,S  ,03/07/2012,04/25/2012,
7,BP OIL CO #24564,30.328340999999998,-81.573122,http://echo.epa.gov/detailed-facility-report?fid=110007453978,FLD984215665,FL,262.A,Standards Applicable to Generators of HW: General,S  ,06/05/2002,12/02/2002,
8,BP OIL CO #24564,30.328340999999998,-81.573122,http://echo.epa.gov/detailed-facility-report?fid=110007453978,FLD984215665,FL,261.A,ID and Listing of HW: General,S  ,06/05/2002,12/02/2002,
9,BP OIL CO #24564,30.328340999999998,-81.573122,http://echo.epa.gov/detailed-facility-report?fid=110007453978,FLD984215665,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/05/2002,12/02/2002,
10,LIBERTY STEEL,30.329340000000002,-81.68106999999998,http://echo.epa.gov/detailed-facility-report?fid=110005653550,FLR000051169,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/22/1999,11/04/1999,08/16/1999
11,LIBERTY STEEL,30.329340000000002,-81.68106999999998,http://echo.epa.gov/detailed-facility-report?fid=110005653550,FLR000051169,FL,265.P,Interim Status Standards for Owners and Operators of HW TSDs: Thermal Treatment,S  ,07/22/1999,11/04/1999,08/16/1999
12,LIBERTY STEEL,30.329340000000002,-81.68106999999998,http://echo.epa.gov/detailed-facility-report?fid=110005653550,FLR000051169,FL,262.A,Standards Applicable to Generators of HW: General,S  ,07/22/1999,07/22/1999,08/16/1999
13,LIBERTY STEEL,30.329340000000002,-81.68106999999998,http://echo.epa.gov/detailed-facility-report?fid=110005653550,FLR000051169,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/22/1999,11/04/1999,08/16/1999
14,MITZI SKIFFS,30.328910999999998,-81.630414,http://echo.epa.gov/detailed-facility-report?fid=110005662292,FLR000066324,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,06/07/2000,06/07/2000,
15,TEXACO EXPRESS LUBE,30.247889,-81.756167,http://echo.epa.gov/detailed-facility-report?fid=110017621947,FLR000106518,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/12/2004,02/12/2004,
16,SOUTHERN PUMP & TANK COMPANY,30.326148,-81.742393,http://echo.epa.gov/detailed-facility-report?fid=110020892300,FLR000115071,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,04/15/2008,05/28/2008,
17,DARREN'S CUSTOM & RESTORATIONS,29.993000000000002,-81.68027,http://echo.epa.gov/detailed-facility-report?fid=110059665321,FLR000208132,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,02/19/2014,03/04/2014,
18,DARREN'S CUSTOM & RESTORATIONS,29.993000000000002,-81.68027,http://echo.epa.gov/detailed-facility-report?fid=110059665321,FLR000208132,FL,279.C,Standards for Used Oil: Generators,S  ,02/19/2014,03/04/2014,
19,DARREN'S CUSTOM & RESTORATIONS,29.993000000000002,-81.68027,http://echo.epa.gov/detailed-facility-report?fid=110059665321,FLR000208132,FL,261.A,ID and Listing of HW: General,S  ,02/19/2014,02/19/2014,
20,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,262.A,Standards Applicable to Generators of HW: General,E  ,03/13/1998,08/19/1999,
21,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,E  ,03/13/1998,08/19/1999,
22,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,262.A,Standards Applicable to Generators of HW: General,S  ,03/11/1998,09/24/1999,
23,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,03/11/1998,09/24/1999,
24,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,265.N,Interim Status Standards for Owners and Operators of HW TSDs: Landfills,S  ,03/11/1998,08/12/1999,
25,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,03/11/1998,09/24/1999,
26,BURKE CO #69,30.3634,-81.69724000000002,http://echo.epa.gov/detailed-facility-report?fid=110002538059,FLD093597268,FL,262.A,Standards Applicable to Generators of HW: General,S  ,03/03/1986,05/02/1986,
27,GAINESVILLE CERTIFIED COLLISION CENTER,29.673265999999998,-82.321141,http://echo.epa.gov/detailed-facility-report?fid=110002553576,FLD981921836,FL,262.A,Standards Applicable to Generators of HW: General,S  ,08/19/2009,10/05/2009,
28,GAINESVILLE CERTIFIED COLLISION CENTER,29.673265999999998,-82.321141,http://echo.epa.gov/detailed-facility-report?fid=110002553576,FLD981921836,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/19/2009,11/06/2009,
29,GAINESVILLE CERTIFIED COLLISION CENTER,29.673265999999998,-82.321141,http://echo.epa.gov/detailed-facility-report?fid=110002553576,FLD981921836,FL,XXS,State Statutory or Regulatory requirements that are broader-in-scope than the federal RCRA requirements,S  ,08/19/2009,10/05/2009,
30,GAINESVILLE CERTIFIED COLLISION CENTER,29.673265999999998,-82.321141,http://echo.epa.gov/detailed-facility-report?fid=110002553576,FLD981921836,FL,279.C,Standards for Used Oil: Generators,S  ,08/19/2009,10/05/2009,
31,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,04/14/1994,03/13/1995,
32,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,264.B,Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,04/14/1994,03/13/1995,
33,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,262.B,Standards Applicable to Generators of HW: Manifest Requirements Applicable to Small and Large Quantity Generators,S  ,04/14/1994,03/13/1995,
34,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,265.B,Interim Status Standards for Owners and Operators of HW TSDs: General Facility Standards,S  ,04/14/1994,03/13/1995,
35,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,262.A,Standards Applicable to Generators of HW: General,S  ,04/14/1994,03/13/1995,
36,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.A,Standards Applicable to Generators of HW: General,S  ,07/23/1998,09/17/1998,
37,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,268.A,Land Disposal Restrictions: General,S  ,07/23/1998,08/21/1998,
38,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/23/1998,09/17/1998,
39,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,08/21/1996,09/03/1996,12/17/1997
40,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.C,Standards Applicable to Generators of HW: Pre-Transport Requirements Applicable to Small and Large Quantity Generators,S  ,07/23/1998,09/17/1998,08/23/1998
41,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,08/07/1997,12/02/1997,
42,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,262.A,Standards Applicable to Generators of HW: General,S  ,02/21/2003,04/10/2003,
43,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,268.A,Land Disposal Restrictions: General,S  ,08/21/1996,09/03/1996,12/17/1997
44,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,265.I,Interim Status Standards for Owners and Operators of HW TSDs: Use and Management of Containers,S  ,07/23/1998,10/02/1998,
45,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,279.C,Standards for Used Oil: Generators,S  ,07/23/1998,09/17/1998,
