,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,Index,NPDES_ID,ACTIVITY_ID,ACTIVITY_TYPE_CODE,COMP_MONITOR_TYPE_CODE,COMP_MONITOR_TYPE_DESC,STATE_EPA_FLAG,ACTUAL_BEGIN_DATE,ACTUAL_END_DATE,ACTIVITY_OUTCOME_CODE,ACTIVITY_OUTCOME_DESC
0,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,1400009220,INS,OVS,Oversight,E,09/24/2008,09/24/2008,,
1,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319661,INS,CEI,Evaluation,S,,05/25/2005,,
2,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319652,INS,CEI,Evaluation,S,,08/11/1994,,
3,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319655,INS,CEI,Evaluation,S,,05/21/1998,,
4,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319654,INS,SA1,Sampling,S,,02/25/1997,,
5,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319673,INS,SA1,Sampling,S,,03/18/2002,,
6,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,3000040267,INS,CEI,Evaluation,S,05/18/2012,05/18/2012,,
7,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319660,INS,CEI,Evaluation,S,,05/03/2010,,
8,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319653,INS,CEI,Evaluation,E,,09/15/1994,,
9,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319666,INS,CBI,Biomonitoring,S,,04/08/2007,,
10,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319659,INS,CEI,Evaluation,S,,06/24/2009,,
11,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2600033438,INS,CEI,Evaluation,S,03/31/2011,03/31/2011,,
12,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319673,INS,CEI,Evaluation,S,,03/18/2002,,
13,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319657,INS,ROS,Reconnaissance without Sampling,S,,01/01/2009,,
14,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319667,INS,CEI,Evaluation,S,,06/27/2000,,
15,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319669,INS,CEI,Evaluation,S,,03/29/2001,,
16,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319668,INS,CEI,Evaluation,S,,01/25/1999,,
17,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319670,INS,TX1,Toxics,S,,03/19/2002,,
18,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319671,INS,CEI,Evaluation,S,,05/11/2004,,
19,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319664,INS,CEI,Evaluation,S,,08/28/2007,,
20,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319658,INS,CEI,Evaluation,S,,09/24/2008,,
21,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,3400098323,INS,CEI,Evaluation,S,03/11/2013,03/11/2013,,
22,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319673,INS,CBI,Biomonitoring,S,,03/18/2002,,
23,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319672,INS,CEI,Evaluation,S,,11/06/2003,,
24,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,3602024878,INS,CEI,Evaluation,S,08/28/2019,08/28/2019,,
25,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319655,INS,SA1,Sampling,S,,05/21/1998,,
26,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,3601669829,INS,CEI,Evaluation,S,11/08/2018,11/08/2018,,
27,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319662,INS,CEI,Evaluation,S,,03/30/2006,,
28,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319665,INS,CEI,Evaluation,S,,04/09/2007,,
29,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319665,INS,SA1,Sampling,S,,04/09/2007,,
30,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319663,INS,CBI,Biomonitoring,S,,04/10/2007,,
31,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319654,INS,CEI,Evaluation,S,,02/25/1997,,
32,IDEAL TRAILER PARK,30.36479000000001,-81.71923000000002,http://echo.epa.gov/detailed-facility-report?fid=110010043826,FL0023426,110010043826,2400319674,INS,CEI,Evaluation,S,,10/28/2002,,
33,JEA WATERSHED,30.329906,-81.657815,http://echo.epa.gov/detailed-facility-report?fid=110039139410,FL0620564,110039139410,2400334422,INS,ROS,Reconnaissance without Sampling,S,,10/01/2010,,
34,JEA WATERSHED,30.329906,-81.657815,http://echo.epa.gov/detailed-facility-report?fid=110039139410,FL0620564,110039139410,3400249647,INS,CEI,Evaluation,S,06/10/2014,06/10/2014,,
35,JEA WATERSHED,30.329906,-81.657815,http://echo.epa.gov/detailed-facility-report?fid=110039139410,FL0620564,110039139410,3000076046,INS,CEI,Evaluation,S,03/01/2012,03/01/2012,,
36,JEA WATERSHED,30.329906,-81.657815,http://echo.epa.gov/detailed-facility-report?fid=110039139410,FL0620564,110039139410,2400334423,INS,CEI,Evaluation,S,,08/15/2010,,
37,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,FLR05C077,110000361876,2400334676,INS,CEI,Evaluation,S,,07/31/2001,,
38,FEDEX GROUND - SANFORD,28.818270000000002,-81.32276999999998,http://echo.epa.gov/detailed-facility-report?fid=110037458505,FLR05G784,110037458505,3000000120,INS,CEI,Evaluation,S,01/12/2012,01/12/2012,,
39,ROCK SPRINGS RIDGE,28.738333,-81.536389,http://echo.epa.gov/detailed-facility-report?fid=110040320621,FLR10IR03,110040320621,2400334725,INS,CEI,Evaluation,E,,11/17/2009,,
40,DOLLAR GENERAL,30.40725,-81.68609000000002,http://echo.epa.gov/detailed-facility-report?fid=110059791195,FLR10NX51,110059791195,3400259012,INS,CEI,Evaluation,S,04/23/2014,04/23/2014,,
41,POE RESERVE,28.682871999999996,-81.531922,http://echo.epa.gov/detailed-facility-report?fid=110067378206,FLR10PW15,110067378206,3601032944,INS,CEI,Evaluation,S,02/03/2017,02/03/2017,,
42,PREFERRED MATERIALS-DIVISION STREET READY MIX PLANT,28.517246999999998,-81.384675,http://echo.epa.gov/detailed-facility-report?fid=110010051763,FLG110116,110010051763,2400335007,INS,CEI,Evaluation,S,,07/29/2003,,
