,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,ID_NUMBER,ACTIVITY_LOCATION,EVALUATION_IDENTIFIER,EVALUATION_TYPE,EVALUATION_DESC,EVALUATION_AGENCY,EVALUATION_START_DATE,FOUND_VIOLATION
0,SPECIALTY TANK & EQUIP CO,30.33685,-81.69035,http://echo.epa.gov/detailed-facility-report?fid=110012624277,FLD004065124,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/04/1987,N  
1,SPECIALTY TANK & EQUIP CO,30.33685,-81.69035,http://echo.epa.gov/detailed-facility-report?fid=110012624277,FLD004065124,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,02/20/2013,N  
2,GREAT SOUTHERN PETERBILT INC,30.326909999999998,-81.73465999999998,http://echo.epa.gov/detailed-facility-report?fid=110002527347,FLD019482488,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,10/04/2001,N  
3,GREAT SOUTHERN PETERBILT INC,30.326909999999998,-81.73465999999998,http://echo.epa.gov/detailed-facility-report?fid=110002527347,FLD019482488,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/10/2001,Y  
4,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FLD981475858,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/18/1996,Y  
5,"SOUTHEAST TOYOTA DISTRIBUTORS, LLC.",30.344559999999998,-81.62812,http://echo.epa.gov/detailed-facility-report?fid=110002545997,FLD981475858,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/22/2011,Y  
6,ALL STAR ELECTRIC,30.384905,-81.64929599999998,http://echo.epa.gov/detailed-facility-report?fid=110002548039,FLD981749708,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/10/1995,N  
7,LJL TRUCK CENTER,30.32794,-81.72875,http://echo.epa.gov/detailed-facility-report?fid=110002548967,FLD981754740,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/10/1987,N  
8,HALE INTERMODAL TRUCKING CO,30.34822,-81.73396899999999,http://echo.epa.gov/detailed-facility-report?fid=110002550864,FLD981858848,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/21/2010,Y  
9,A & D PAINTING & WALLCOVERING,30.320999,-81.680148,http://echo.epa.gov/detailed-facility-report?fid=110002554753,FLD981926553,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/04/1986,N  
10,SOUTHEAST CHEVY PARTS INC,28.64465,-81.45999,http://echo.epa.gov/detailed-facility-report?fid=110002558679,FLD982091407,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/01/2017,Y  
11,ENTERPRISE RENT A CAR,30.398297999999997,-81.683489,http://echo.epa.gov/detailed-facility-report?fid=110002561736,FLD982105439,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/13/2011,N  
12,ENTERPRISE RENT A CAR,30.398297999999997,-81.683489,http://echo.epa.gov/detailed-facility-report?fid=110002561736,FLD982105439,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/13/1990,N  
13,JEA WATERSHED,30.329906,-81.657815,http://echo.epa.gov/detailed-facility-report?fid=110039139410,FLD982125650,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,02/21/2013,N  
14,SAYCO ENTERPRISES INC,28.503890000000002,-81.42867,http://echo.epa.gov/detailed-facility-report?fid=110005597229,FLD984181859,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/07/1997,N  
15,FIRESTONE BUILDING PRODUCTS CO,30.318056,-81.759721,http://echo.epa.gov/detailed-facility-report?fid=110000361876,FLD984194621,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,12/14/1995,N  
16,MILLIKAN BATTERY & ELECTRIC,28.672199,-81.496167,http://echo.epa.gov/detailed-facility-report?fid=110005603089,FLD984200220,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/07/2012,Y  
17,MILLIKAN BATTERY & ELECTRIC,28.672199,-81.496167,http://echo.epa.gov/detailed-facility-report?fid=110005603089,FLD984200220,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,04/08/2008,N  
18,MILLIKAN BATTERY & ELECTRIC,28.672199,-81.496167,http://echo.epa.gov/detailed-facility-report?fid=110005603089,FLD984200220,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/06/2008,N  
19,THE NEW BEST PACKERS INC,29.653228000000002,-81.639466,http://echo.epa.gov/detailed-facility-report?fid=110007451042,FLD984205724,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/24/2010,N  
20,BP OIL CO #24564,30.328340999999998,-81.573122,http://echo.epa.gov/detailed-facility-report?fid=110007453978,FLD984215665,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/02/2002,N  
21,BP OIL CO #24564,30.328340999999998,-81.573122,http://echo.epa.gov/detailed-facility-report?fid=110007453978,FLD984215665,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/05/2002,Y  
22,BP OIL CO #24564,30.328340999999998,-81.573122,http://echo.epa.gov/detailed-facility-report?fid=110007453978,FLD984215665,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,12/05/2002,N  
23,ALDEN EQUIPMENT INC,28.808402,-81.310846,http://echo.epa.gov/detailed-facility-report?fid=110005650116,FLR000044933,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/11/1998,N  
24,LIBERTY STEEL,30.329340000000002,-81.68106999999998,http://echo.epa.gov/detailed-facility-report?fid=110005653550,FLR000051169,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,11/04/1999,N  
25,LIBERTY STEEL,30.329340000000002,-81.68106999999998,http://echo.epa.gov/detailed-facility-report?fid=110005653550,FLR000051169,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/06/1999,Y  
26,LIBERTY STEEL,30.329340000000002,-81.68106999999998,http://echo.epa.gov/detailed-facility-report?fid=110005653550,FLR000051169,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,07/31/2015,N  
27,MITZI SKIFFS,30.328910999999998,-81.630414,http://echo.epa.gov/detailed-facility-report?fid=110005662292,FLR000066324,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/07/2000,Y  
28,MITZI SKIFFS,30.328910999999998,-81.630414,http://echo.epa.gov/detailed-facility-report?fid=110005662292,FLR000066324,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,04/29/2008,N  
29,MITZI SKIFFS,30.328910999999998,-81.630414,http://echo.epa.gov/detailed-facility-report?fid=110005662292,FLR000066324,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/18/2008,N  
30,SUBURBAN WRECKER,28.545545,-81.41409300000002,http://echo.epa.gov/detailed-facility-report?fid=110012539529,FLR000069302,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/03/2000,N  
31,ABES WRECKER SERVICE,30.294895,-81.638265,http://echo.epa.gov/detailed-facility-report?fid=110012549894,FLR000081042,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,09/21/2001,N  
32,TEXACO EXPRESS LUBE,30.247889,-81.756167,http://echo.epa.gov/detailed-facility-report?fid=110017621947,FLR000106518,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,02/12/2004,N  
33,TEXACO EXPRESS LUBE,30.247889,-81.756167,http://echo.epa.gov/detailed-facility-report?fid=110017621947,FLR000106518,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/12/2004,Y  
34,SOUTHERN PUMP & TANK COMPANY,30.326148,-81.742393,http://echo.epa.gov/detailed-facility-report?fid=110020892300,FLR000115071,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,04/15/2008,Y  
35,SOUTHERN PUMP & TANK COMPANY,30.326148,-81.742393,http://echo.epa.gov/detailed-facility-report?fid=110020892300,FLR000115071,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,05/18/2008,N  
36,SOS TOWING SERVICE,28.5451,-81.39953,http://echo.epa.gov/detailed-facility-report?fid=110043767082,FLR000176594,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,06/22/2011,N  
37,KINDRED HOSPITAL NORTH FLORIDA,29.988329999999998,-81.68234,http://echo.epa.gov/detailed-facility-report?fid=110043863165,FLR000178087,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,07/10/2013,N  
38,CVS PHARMACY #3685,30.20498,-81.73962,http://echo.epa.gov/detailed-facility-report?fid=110044806644,FLR000180687,FL,CAV,CAV,COMPLIANCE ASSISTANCE VISIT,S  ,08/01/2012,N  
39,SUPERIOR IBC TOTE CLEANING SERVICE LLC,30.362609999999997,-81.63201,http://echo.epa.gov/detailed-facility-report?fid=110045969029,FLR000185744,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,06/02/2015,N  
40,DARREN'S CUSTOM & RESTORATIONS,29.993000000000002,-81.68027,http://echo.epa.gov/detailed-facility-report?fid=110059665321,FLR000208132,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/19/2014,Y  
41,HUNTERS AUTO ELECTRIC,30.348209999999998,-81.69460600000002,http://echo.epa.gov/detailed-facility-report?fid=110002531555,FLD047966924,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,01/28/2015,N  
42,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,JLB,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,E  ,03/13/1998,Y  
43,CROWN PLATING INC,30.3453,-81.63341,http://echo.epa.gov/detailed-facility-report?fid=110001741036,FLD053111241,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,03/11/1998,Y  
44,BURKE CO #69,30.3634,-81.69724000000002,http://echo.epa.gov/detailed-facility-report?fid=110002538059,FLD093597268,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,03/03/1986,Y  
45,BURKE CO #69,30.3634,-81.69724000000002,http://echo.epa.gov/detailed-facility-report?fid=110002538059,FLD093597268,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,10/13/1983,N  
46,BURKE CO #69,30.3634,-81.69724000000002,http://echo.epa.gov/detailed-facility-report?fid=110002538059,FLD093597268,FL,NRR,NRR,NON-FINANCIAL RECORD REVIEW,S  ,07/28/1985,N  
47,GAINESVILLE CERTIFIED COLLISION CENTER,29.673265999999998,-82.321141,http://echo.epa.gov/detailed-facility-report?fid=110002553576,FLD981921836,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,08/19/2009,Y  
48,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,10/23/2007,N  
49,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,CEI,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/18/1993,Y  
50,TRI CO TRANSIT,28.537211,-81.39519200000002,http://echo.epa.gov/detailed-facility-report?fid=110002555495,FLD981932874,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,05/17/2007,N  
51,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,CEN,CEI,COMPLIANCE EVALUATION INSPECTION ON-SITE,S  ,02/02/1999,N  
52,TRANSPO ELECTRONICS INC,28.572027000000002,-81.426873,http://echo.epa.gov/detailed-facility-report?fid=110002559785,FLD982096760,FL,CSE,CSE,COMPLIANCE SCHEDULE EVALUATION,S  ,08/07/1997,Y  
