,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,REGISTRY_ID,REPORTING_YEAR,PGM_SYS_ACRNM,PGM_SYS_ID,POLLUTANT_NAME,ANNUAL_EMISSION,UNIT_OF_MEASURE,NEI_TYPE,NEI_HAP_VOC_FLAG
0,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2016,TRIS,32178CDRSYAIRPO,Styrene,15700.0,Pounds,,
1,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2005,EIS,2474511,Styrene,20400.0,Pounds,HAP,VOC
2,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2014,EIS,2474511,"Primary PM10, filterable portion only",0.0,Pounds,CAP,
3,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2014,EIS,2474511,Primary PM2.5 (filterables and condensibles),0.0,Pounds,CAP,
4,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2018,TRIS,32178CDRSYAIRPO,Styrene,11440.0,Pounds,,
5,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2017,EIS,2474511,Volatile organic compounds,12132.04,Pounds,CAP,VOC
6,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2017,EIS,2474511,"Primary PM10, filterable portion only",58348.434,Pounds,CAP,
7,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2017,EIS,2474511,Primary PM10 (filterables and condensibles),58348.434,Pounds,CAP,
8,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2008,EIS,2474511,Styrene,26800.0,Pounds,HAP,VOC
9,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2008,EIS,2474511,Volatile organic compounds,26800.0,Pounds,CAP,VOC
10,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2015,TRIS,32178CDRSYAIRPO,Diisocyanates -- TRI,0.0,Pounds,,
11,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2011,EIS,2474511,Styrene,19728.0,Pounds,HAP,VOC
12,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2011,EIS,2474511,"Primary PM condensible portion,  less than 1 micron",0.0,Pounds,CAP,
13,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2015,TRIS,32178CDRSYAIRPO,Styrene,13200.0,Pounds,,
14,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2014,EIS,2474511,Primary PM10 (filterables and condensibles),0.0,Pounds,CAP,
15,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2014,EIS,2474511,Volatile organic compounds,7304.62,Pounds,CAP,VOC
16,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2011,EIS,2474511,"Primary PM2.5, filterable portion only",0.0,Pounds,CAP,
17,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2016,TRIS,32178CDRSYAIRPO,Diisocyanates -- TRI,0.0,Pounds,,
18,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2013,TRIS,32178CDRSYAIRPO,Styrene,9192.0,Pounds,,
19,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2014,TRIS,32178CDRSYAIRPO,Styrene,14000.0,Pounds,,
20,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2005,EIS,2474511,Volatile organic compounds,20400.0,Pounds,CAP,VOC
21,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2017,EIS,2474511,"Primary PM condensible portion,  less than 1 micron",0.0,Pounds,CAP,
22,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2017,EIS,2474511,"Hexamethylene-1,6-diisocyanate",5.898,Pounds,HAP,HAP-VOC
23,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2014,EIS,2474511,"Primary PM condensible portion,  less than 1 micron",0.0,Pounds,CAP,
24,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2014,EIS,2474511,"Primary PM2.5, filterable portion only",0.0,Pounds,CAP,
25,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2011,TRIS,32178CDRSYAIRPO,Styrene,21873.0,Pounds,,
26,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2011,EIS,2474511,Primary PM2.5 (filterables and condensibles),0.0,Pounds,CAP,
27,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2012,TRIS,32178CDRSYAIRPO,Styrene,13739.0,Pounds,,
28,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2018,TRIS,32178CDRSYAIRPO,Diisocyanates -- TRI,0.0,Pounds,,
29,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2017,TRIS,32178CDRSYAIRPO,Diisocyanates -- TRI,0.0,Pounds,,
30,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2011,EIS,2474511,"Primary PM10, filterable portion only",0.0,Pounds,CAP,
31,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2009,TRIS,32178CDRSYAIRPO,Styrene,21400.0,Pounds,,
32,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2017,TRIS,32178CDRSYAIRPO,Styrene,11570.0,Pounds,,
33,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2011,EIS,2474511,Primary PM10 (filterables and condensibles),0.0,Pounds,CAP,
34,"HUBBELL LENOIR CITY, INC",29.652666999999997,-81.687667,http://echo.epa.gov/detailed-facility-report?fid=110000361741,110000361741,2014,EIS,2474511,Styrene,7304.62,Pounds,HAP,VOC
