,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PWSID,PWS_NAME,CITY_SERVED,STATE,STATE_NAME,PWS_TYPE_CODE,PWS_TYPE_SHORT,SOURCE_WATER,PWS_SIZE,POPULATION_SERVED_COUNT,FISCAL_YEAR,SERIOUS_VIOLATOR
0,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2012,Y
1,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2015,Y
2,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2016,Y
3,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2011,Y
4,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,40,2012,Y
5,TROUT RIVER MOBILE HOME PARK,30.41607,-81.73501,http://echo.epa.gov/detailed-facility-report?fid=110013194177,FL2161192,TROUT RIVER MOBILE HOME PARK,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,60,2011,Y
6,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2011,Y
7,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2016,Y
8,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2019,Y
9,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2018,Y
10,R. C. WILLIS WTP (CITY OF PALATKA),29.6525,-81.681667,http://echo.epa.gov/detailed-facility-report?fid=110000509762,FL2544260,R. C. WILLIS WTP (CITY OF PALATKA),PALATKA,FL,Florida,CWS,Community,GW,Large,11900,2020,Y
11,COUNTRY SQUIRE MOBILE HOME PK,28.99248,-81.53888,http://echo.epa.gov/detailed-facility-report?fid=110013195808,FL3350249,COUNTRY SQUIRE MOBILE HOME PK,PAISLEY,FL,Florida,CWS,Community,GW,Very Small,240,2014,Y
