,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PGM_SYS_ID,ACTIVITY_ID,AGENCY_TYPE_DESC,STATE_CODE,AIR_LCON_CODE,COMP_DETERMINATION_UID,ENF_RESPONSE_POLICY_CODE,PROGRAM_CODES,PROGRAM_DESCS,POLLUTANT_CODES,POLLUTANT_DESCS,EARLIEST_FRV_DETERM_DATE,HPV_DAYZERO_DATE,HPV_RESOLVED_DATE
0,NUSTAR -  JACKSONVILLE,30.379654,-81.63455400000002,http://echo.epa.gov/detailed-facility-report?fid=110042048904,FL0000001203100028,3400321361,State,FL,,FL000A0000120310002800101,HPV,CAANSPS,New Source Performance Standards,300000328,ADMIN,11-08-2001,11-08-2001,03-04-2002
1,NUSTAR -  JACKSONVILLE,30.379654,-81.63455400000002,http://echo.epa.gov/detailed-facility-report?fid=110042048904,FL0000001203100028,3400321364,State,FL,,FL000A0000120310002800126,HPV,CAATVP,Title V Permits,300000328,ADMIN,12-15-2005,12-15-2005,04-10-2006
2,NUSTAR -  JACKSONVILLE,30.379654,-81.63455400000002,http://echo.epa.gov/detailed-facility-report?fid=110042048904,FL0000001203100028,3400321368,State,FL,,FL000A0000120310002800136,HPV,CAATVP,Title V Permits,300000328,ADMIN,09-12-2006,09-12-2006,12-11-2006
3,NUSTAR -  JACKSONVILLE,30.379654,-81.63455400000002,http://echo.epa.gov/detailed-facility-report?fid=110042048904,FL0000001203100028,3400321371,State,FL,,FL000A0000120310002800144,HPV,CAATVP,Title V Permits,300000328,ADMIN,06-14-2007,06-14-2007,09-10-2007
4,JEA,30.35142,-81.63268000000002,http://echo.epa.gov/detailed-facility-report?fid=110000736419,FL0000001203100166,3400322130,State,FL,,FL000A0000120310016600048,HPV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000330,OTHER,,07-24-1998,11-09-1998
5,JEA,30.35142,-81.63268000000002,http://echo.epa.gov/detailed-facility-report?fid=110000736419,FL0000001203100166,3400322135,State,FL,,FL000A0000120310016600141,HPV,CAANSPS CAATVP,New Source Performance Standards Title V Permits,300000010,Hydrogen sulfide,02-20-2013,02-20-2013,07-19-2013
6,JEA,30.35142,-81.63268000000002,http://echo.epa.gov/detailed-facility-report?fid=110000736419,FL0000001203100166,3600405925,State,FL,,FL000A59439,HPV,CAATVP,Title V Permits,300000322,TOTAL PARTICULATE MATTER,01-29-2015,02-28-2015,06-08-2015
7,NINA PLASTIC BAGS INC,28.4538,-81.41893,http://echo.epa.gov/detailed-facility-report?fid=110001758964,FL0000001209500052,3400321689,State,FL,,FL000A0000120950005200007,HPV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000243,VOLATILE ORGANIC COMPOUNDS (VOCS),09-25-2003,09-25-2003,02-24-2004
8,NINA PLASTIC BAGS INC,28.4538,-81.41893,http://echo.epa.gov/detailed-facility-report?fid=110001758964,FL0000001209500052,3400321696,State,FL,,FL000A0000120950005200038,FRV,CAATVP,Title V Permits,300000329,FACIL,04-24-2014,,06-20-2014
9,NINA PLASTIC BAGS INC,28.4538,-81.41893,http://echo.epa.gov/detailed-facility-report?fid=110001758964,FL0000001209500052,3601133759,State,FL,,FL000A0000120950005200054,FRV,CAAMACT,MACT Standards (40 CFR Part 63),300000329,FACIL,07-13-2017,,12-05-2017
10,NINA PLASTIC BAGS INC,28.4538,-81.41893,http://echo.epa.gov/detailed-facility-report?fid=110001758964,FL0000001209500052,3601857390,State,FL,,FL000A0000120950005200069,FRV,CAATVP,Title V Permits,300000329,FACIL,04-24-2019,,08-02-2019
11,"INDUSTRIAL CONTAINER SERVICES - FL, LLC",28.731944,-81.6125,http://echo.epa.gov/detailed-facility-report?fid=110001758900,FL0000001209500055,3400322531,State,FL,,FL000A0000120950005500044,HPV,CAATVP,Title V Permits,300000328,ADMIN,,01-28-2000,02-25-2000
12,"INDUSTRIAL CONTAINER SERVICES - FL, LLC",28.731944,-81.6125,http://echo.epa.gov/detailed-facility-report?fid=110001758900,FL0000001209500055,3400322536,State,FL,,FL000A0000120950005500074,HPV,CAATVP,Title V Permits,300000328,ADMIN,11-14-2007,11-14-2007,05-22-2008
13,"INDUSTRIAL CONTAINER SERVICES - FL, LLC",28.731944,-81.6125,http://echo.epa.gov/detailed-facility-report?fid=110001758900,FL0000001209500055,3600847941,State,FL,,FL000A0000120950005500102,FRV,CAATVP,Title V Permits,300000329,FACIL,09-13-2016,,11-15-2016
14,WASTE MANAGEMENT INC. OF FLORIDA,28.642944,-81.516306,http://echo.epa.gov/detailed-facility-report?fid=110041527666,FL0000001209501334,3600988723,State,FL,,FL000A0000120950133400014,FRV,CAATVP,Title V Permits,300000329,FACIL,01-31-2017,,02-28-2017
15,WASTE MANAGEMENT INC. OF FLORIDA,28.642944,-81.516306,http://echo.epa.gov/detailed-facility-report?fid=110041527666,FL0000001209501334,3601274666,State,FL,,FL000A0000120950133400019,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,10461,Sulfur dioxide,09-06-2017,,11-17-2017
16,FLORIDA EXTRUDERS INTERNATIONAL INC,28.804740000000002,-81.29437,http://echo.epa.gov/detailed-facility-report?fid=110002103090,FL0000001211700027,3400321166,State,FL,,FL000A0000121170002700001,HPV,CAAMACT,MACT Standards (40 CFR Part 63),300000328,ADMIN,06-25-2003,06-25-2003,02-06-2004
17,FLORIDA EXTRUDERS INTERNATIONAL INC,28.804740000000002,-81.29437,http://echo.epa.gov/detailed-facility-report?fid=110002103090,FL0000001211700027,3601204010,State,FL,,FL000A0000121170002700037,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,04-03-2017,,10-02-2017
18,FLORIDA EXTRUDERS INTERNATIONAL INC,28.804740000000002,-81.29437,http://echo.epa.gov/detailed-facility-report?fid=110002103090,FL0000001211700027,3601561148,State,FL,,FL000A0000121170002700041,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,09-18-2018,,06-04-2018
19,"ANGELO'S RECYCLED MATERIALS, INC.",28.639870000000002,-81.4678,http://echo.epa.gov/detailed-facility-report?fid=110005971500,FL0000001277705075,3400322694,State,FL,,FL000A0000127770507500010,FRV,CAANSPS,New Source Performance Standards,300000329,FACIL,12-31-2013,,04-22-2014
20,MAXWELL HOUSE COFFEE DIVISION,30.324648,-81.647913,http://echo.epa.gov/detailed-facility-report?fid=110001736998,FL0000001203100004,3400322707,State,FL,,FL000A0000120310000400162,HPV,CAATVP,Title V Permits,300000329,FACIL,05-28-2011,05-28-2011,09-30-2011
21,MAXWELL HOUSE COFFEE DIVISION,30.324648,-81.647913,http://echo.epa.gov/detailed-facility-report?fid=110001736998,FL0000001203100004,3400322711,State,FL,,FL000A0000120310000400181,FRV,CAATVP,Title V Permits,300000329,FACIL,06-20-2012,,11-19-2012
22,CATERPILLAR INC.,30.3213,-81.74826999999998,http://echo.epa.gov/detailed-facility-report?fid=110002444070,FL0000001203100248,3400323320,State,FL,,FL000A0000120310024800002,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,04-04-2011,,07-11-2011
23,CATERPILLAR INC.,30.3213,-81.74826999999998,http://echo.epa.gov/detailed-facility-report?fid=110002444070,FL0000001203100248,3400323324,State,FL,,FL000A0000120310024800008,FRV,CAASIP,State Implementation Plan for National Primary and Secondary Ambient Air Quality Standards,300000329,FACIL,06-20-2012,,12-05-2012
24,FLOWERS BAKERY,30.36213,-81.69983,http://echo.epa.gov/detailed-facility-report?fid=110007252739,FL0000001203100418,3400322846,State,FL,,FL000A0000120310041800033,FRV,CAATVP,Title V Permits,300000329,FACIL,06-01-2012,,10-02-2012
