,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PWSID,PWS_NAME,CITY_SERVED,STATE,STATE_NAME,PWS_TYPE_CODE,PWS_TYPE_SHORT,SOURCE_WATER,PWS_SIZE,POPULATION_SERVED_COUNT,FISCAL_YEAR,VIOLATION_NAME,VIOLATION_ID,RULE_NAME,BEGIN_YEAR,END_YEAR,RTC_YEAR,ACUTE_HEALTH_BASED,HEALTH_BASED,MONITORING_REPORTING,PUBLIC_NOTIF_OTHER
0,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2011,"MCL, Monthly (TCR)",20110003462,TCR,2011,2011.0,2011.0,N,Y,N,N
1,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2016,"Monitoring, Routine Major (TCR)",20160004586,TCR,2016,2016.0,,N,N,Y,N
2,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2016,Failure to Conduct Assessment Monitoring,20160004613,GWR,2016,2016.0,,N,N,Y,N
3,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2011,"Monitoring, Routine Major (TCR)",20070004622,TCR,2007,2007.0,,N,N,Y,N
4,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2018,"Monitoring, Routine (RTCR)",20180008960,RTCR,2018,2018.0,2018.0,N,N,Y,N
5,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2018,Failure to Conduct Assessment Monitoring,20180008906,GWR,2018,2018.0,2018.0,N,N,Y,N
6,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2017,"Monitoring, Routine (RTCR)",20160004586,RTCR,2016,2016.0,,N,N,Y,N
7,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2017,Failure to Conduct Assessment Monitoring,20160004613,GWR,2016,2016.0,,N,N,Y,N
8,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2011,"MCL, Monthly (TCR)",20110002123,TCR,2011,2011.0,2011.0,N,Y,N,N
9,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2011,"Monitoring, Repeat Major (TCR)",20110001946,TCR,2011,2011.0,2011.0,N,N,Y,N
10,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2011,"MCL, Monthly (TCR)",20110000408,TCR,2011,2011.0,2011.0,N,Y,N,N
